subaccount_id,timestamp,session_id,device_id,country,event_name,properties
oSA1xZ47,2024-01-06 06:00:43.658141834,jHT9jurP,MYb_OhTZ,US,Log-in,{}
oSA1xZ47,2024-01-06 06:10:43.658141834,jHT9jurP,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""mQ5IQBoA"", ""content_type"": ""show""}"
oSA1xZ47,2024-01-06 06:20:43.658141834,jHT9jurP,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""mQ5IQBoA"", ""content_type"": ""show""}"
oSA1xZ47,2024-01-06 06:30:43.658141834,jHT9jurP,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""mQ5IQBoA"", ""content_type"": ""show""}"
oSA1xZ47,2024-01-06 06:40:43.658141834,jHT9jurP,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""mQ5IQBoA"", ""content_type"": ""show""}"
oSA1xZ47,2024-01-06 06:42:43.658141834,jHT9jurP,MYb_OhTZ,US,Log-out,{}
oSA1xZ47,2024-01-14 16:58:27.658141834,FNz6-6dG,MYb_OhTZ,US,Log-in,{}
oSA1xZ47,2024-01-14 17:04:27.658141834,FNz6-6dG,MYb_OhTZ,US,Log-out,{}
oSA1xZ47,2024-01-21 12:19:50.658141834,lJZtfb8Z,MYb_OhTZ,US,Log-in,{}
oSA1xZ47,2024-01-21 12:29:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 12:39:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 12:49:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 12:59:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:09:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:19:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:29:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:39:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:49:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 13:59:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 14:09:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 14:19:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
oSA1xZ47,2024-01-21 14:29:50.658141834,lJZtfb8Z,MYb_OhTZ,US,PlayProgress,"{""content_id"": ""GA6n3i0p"", ""content_type"": ""series""}"
